Algoritmo,Tamanho,Execucao,Tempo,Movimentacoes
MergeSort,1000,1,0.000000,19952
MergeSort,1000,2,0.000000,19952
MergeSort,1000,3,0.001000,19952
HeapSort,1000,1,0.000000,9074
HeapSort,1000,2,0.000000,9074
HeapSort,1000,3,0.000000,9074
QuickSort,1000,1,0.000000,5881
QuickSort,1000,2,0.000000,5881
QuickSort,1000,3,0.000000,5881
MergeSort,10000,1,0.002000,267232
MergeSort,10000,2,0.002000,267232
MergeSort,10000,3,0.002000,267232
HeapSort,10000,1,0.001000,124295
HeapSort,10000,2,0.002000,124295
HeapSort,10000,3,0.002000,124295
QuickSort,10000,1,0.001000,82498
QuickSort,10000,2,0.001000,82498
QuickSort,10000,3,0.001000,82498
MergeSort,100000,1,0.025000,3337856
MergeSort,100000,2,0.025000,3337856
MergeSort,100000,3,0.024000,3337856
HeapSort,100000,1,0.021000,1574793
HeapSort,100000,2,0.023000,1574793
HeapSort,100000,3,0.020000,1574793
QuickSort,100000,1,0.011000,926897
QuickSort,100000,2,0.011000,926897
QuickSort,100000,3,0.011000,926897
